trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration
458,BUY,sup1,2025-06-02T10:55:00,23896.55,23971.55,2025-06-02T16:00:00,23719.55,STOP_LOSS,-177.0,305.0
459,BUY,sup1,2025-06-03T09:00:00,24027.2,24102.2,2025-06-03T09:25:00,23812.45,STOP_LOSS,-214.75,25.0
460,BUY,sup1,2025-06-03T10:35:00,23871.75,23946.75,2025-06-03T11:05:00,23951.75,TARGET,80.0,30.0
461,BUY,sup1,2025-06-03T13:40:00,23941.75,24016.75,2025-06-03T14:20:00,23917.25,STOP_LOSS,-24.5,40.0
462,BUY,res1,2025-06-03T15:05:00,23977.75,24052.75,2025-06-03T15:25:00,23941.25,STOP_LOSS,-36.5,20.0
463,BUY,res1,2025-06-03T15:40:00,23976.25,24051.25,2025-06-04T09:00:00,24221.4,TARGET,245.15000000000146,1040.0
464,BUY,sup1,2025-06-04T11:15:00,24310.85,24385.85,2025-06-04T12:00:00,24237.85,STOP_LOSS,-73.0,45.0
465,BUY,sup1,2025-06-05T12:00:00,24344.55,24419.55,2025-06-05T13:10:00,24321.05,STOP_LOSS,-23.5,70.0
466,BUY,sup1,2025-06-05T14:15:00,24355.55,24430.55,2025-06-05T15:15:00,24293.05,STOP_LOSS,-62.5,60.0
467,BUY,sup1,2025-06-06T10:05:00,24233.75,24308.75,2025-06-06T15:35:00,24300.95,TARGET,67.20000000000073,330.0
468,BUY,res1,2025-06-06T15:40:00,24309.25,24384.25,2025-06-09T09:00:00,24229.4,STOP_LOSS,-79.84999999999854,3920.0
469,BUY,sup1,2025-06-09T10:55:00,24223.95,24298.95,2025-06-09T13:50:00,24133.45,STOP_LOSS,-90.5,175.0
470,BUY,res1,2025-06-09T15:45:00,24152.95,24227.95,2025-06-10T09:45:00,24100.25,STOP_LOSS,-52.70000000000073,1080.0
471,BUY,sup1,2025-06-10T09:55:00,24102.75,24177.75,2025-06-10T10:10:00,24084.25,STOP_LOSS,-18.5,15.0
472,BUY,res1,2025-06-10T13:15:00,24063.25,24138.25,2025-06-10T14:40:00,24049.55,STOP_LOSS,-13.700000000000728,85.0
473,BUY,sup1,2025-06-12T12:30:00,23630.75,23705.75,2025-06-12T12:55:00,23695.75,TARGET,65.0,25.0
474,BUY,sup1,2025-06-13T13:40:00,23449.05,23524.05,2025-06-13T13:50:00,23525.55,TARGET,76.5,10.0
475,BUY,sup1,2025-06-13T15:05:00,23425.25,23500.25,2025-06-16T09:00:00,23564.3,TARGET,139.04999999999927,3955.0
476,BUY,res1,2025-06-16T11:00:00,23604.05,23679.05,2025-06-16T11:20:00,23565.05,STOP_LOSS,-39.0,20.0
477,BUY,sup1,2025-06-16T15:55:00,23604.85,23679.85,2025-06-16T16:25:00,23678.85,TARGET,74.0,30.0
478,BUY,sup1,2025-06-17T12:35:00,23398.75,23473.75,2025-06-17T13:15:00,23481.25,TARGET,82.5,40.0
479,BUY,sup1,2025-06-19T12:20:00,23212.65,23287.65,2025-06-19T13:15:00,23154.65,STOP_LOSS,-58.0,55.0
480,BUY,sup1,2025-06-20T09:00:00,23167.1,23242.1,2025-06-20T09:30:00,23236.55,TARGET,69.45000000000073,30.0
481,BUY,res1,2025-06-20T13:05:00,23323.55,23398.55,2025-06-20T13:45:00,23402.35,TARGET,78.79999999999927,40.0
482,BUY,sup1,2025-06-23T09:20:00,23263.75,23338.75,2025-06-23T09:50:00,23331.25,TARGET,67.5,30.0
483,BUY,sup1,2025-06-23T12:05:00,23241.05,23316.05,2025-06-23T13:40:00,23167.25,STOP_LOSS,-73.79999999999927,95.0
